id_media valeur chant ligne position_ds_ligne
0 ﻿DAMIETTE 1 0 0
1 : 1 0 1
2 LA 1 0 2
3 MAISON 1 0 3
4 OU 1 0 4
5 SAINT 1 0 5
6 LOUIS 1 0 6
7 FUT 1 0 7
8 PRISONNIER 1 0 8
9 Sans 1 1 0
10 doute 1 1 1
11 à 1 1 2
12 réfléchir, 1 1 3
13 à 1 1 4
14 compter 1 1 5
15 cela 1 1 6
16 porte, 1 1 7
17 D'être 1 2 0
18 avisé 1 2 1
19 que 1 2 2
20 là, 1 2 3
21 derrière 1 2 4
22 cette 1 2 5
23 porte, 1 2 6
24 Fut 1 3 0
25 trois 1 3 1
26 mois 1 3 2
27 prisonnier 1 3 3
28 le 1 3 4
29 roi 1 3 5
30 saint 1 3 6
31 !... 1 3 7
32 Louis 1 3 8
33 neuf 1 3 9
34 !... 1 3 10
35 Combien 1 4 0
36 le 1 4 1
37 fait, 1 4 2
38 pourtant, 1 4 3
39 paraît 1 4 4
40 tangible 1 4 5
41 et 1 4 6
42 neuf 1 4 7
43 1.jpg 1 4 1000
44 Saint 1 4 1001
45 Louis 1 4 1002
46 dans 1 4 1003
47 sa 1 4 1004
48 prison 1 4 1005
49 de 1 4 1006
50 Damiette 1 4 1007
51 En 1 5 0
52 ce 1 5 1
53 pays 1 5 2
54 jonché 1 5 3
55 de 1 5 4
56 croulantes 1 5 5
57 merveilles, 1 5 6
58 Telles 1 6 0
59 qu'on 1 6 1
60 n'en 1 6 2
61 sait 1 6 3
62 point 1 6 4
63 ici-bas 1 6 5
64 de 1 6 6
65 plus 1 6 7
66 vieilles 1 6 8
67 ! 1 6 9
68 Elles 1 7 0
69 présentes, 1 7 1
70 tout 1 7 2
71 semble 1 7 3
72 dater 1 7 4
73 d'hier 1 7 5
74 : 1 7 6
75 Le 1 8 0
76 nom 1 8 1
77 dont, 1 8 2
78 écrasé, 1 8 3
79 le 1 8 4
80 porteur 1 8 5
81 est 1 8 6
82 si 1 8 7
83 fier 1 8 8
84 Que 1 9 0
85 de 1 9 1
86 mémoire, 1 9 2
87 à 1 9 3
88 fond, 1 9 4
89 il 1 9 5
90 sait 1 9 6
91 sans 1 9 7
92 une 1 9 8
93 faute 1 9 9
94 Comme 1 10 0
95 sait 1 10 1
96 l'occupant, 1 10 2
97 dans 1 10 3
98 une 1 10 4
99 maison 1 10 5
100 haute, 1 10 6
101 D'un 1 11 0
102 clair 1 11 1
103 logis 1 11 2
104 donnant 1 11 3
105 sur 1 11 4
106 le 1 11 5
107 dernier 1 11 6
108 palier 1 11 7
109 Photographe 1 12 0
110 quelconque 1 12 1
111 habile 1 12 2
112 à 1 12 3
113 pallier 1 12 4
114 Pattes 1 13 0
115 d'oie 1 13 1
116 et 1 13 2
117 boutons 1 13 3
118 par 1 13 4
119 de 1 13 5
120 fins 1 13 6
121 stratagèmes 1 13 7
122 Pouvoir 1 14 0
123 du 1 14 1
124 retoucheur 1 14 2
125 ! 1 14 3
126 lorsque 1 14 4
127 arborant 1 14 5
128 ses 1 14 6
129 gemmes 1 14 7
130 Chacun, 1 15 0
131 quand 1 15 1
132 de 1 15 2
133 son 1 15 3
134 moi, 1 15 4
135 dont 1 15 5
136 il 1 15 6
137 est 1 15 7
138 entiché, 1 15 8
139 Rigide, 1 16 0
140 il 1 16 1
141 fait 1 16 2
142 tirer 1 16 3
143 un 1 16 4
144 orgueilleux 1 16 5
145 cliché, 1 16 6
146 Se 1 17 0
147 demandant, 1 17 1
148 pour 1 17 2
149 peu 1 17 3
150 qu'en 1 17 4
151 respirant 1 17 5
152 il 1 17 6
153 bouge, 1 17 7
154 Si 1 18 0
155 sur 1 18 1
156 la 1 18 2
157 gélatine, 1 18 3
158 à 1 18 4
159 la 1 18 5
160 lumière 1 18 6
161 rouge, 1 18 7
162 Dans 1 19 0
163 le 1 19 1
164 révélateur 1 19 2
165 il 1 19 3
166 apparaîtra 1 19 4
167 flou, 1 19 5
168 Tels 1 20 0
169 se 1 20 1
170 demandent 1 20 2
171 : 1 20 3
172 — 1 20 4
173 S’il 1 20 5
174 diffère 1 20 6
175 d'un 1 20 7
176 filou, 1 20 8
177 Le 1 21 0
178 fat 1 21 1
179 qui 1 21 2
180 d'un 1 21 3
181 regard 1 21 4
182 parfois 1 21 5
183 une 1 21 6
184 étincelle, 1 21 7
185 L'entourant 1 22 0
186 de 1 22 1
187 pompiers 1 22 2
188 qui 1 22 3
189 grimpent 1 22 4
190 à 1 22 5
191 l'échelle, 1 22 6
192 2.jpg 1 22 1000
193 Une 1 22 1001
194 maison 1 22 1002
195 en 1 22 1003
196 plein 1 22 1004
197 incendie 1 22 1005
198 entourée 1 22 1006
199 de 1 22 1007
200 pompiers 1 22 1008
201 qui 1 22 1009
202 montent 1 22 1010
203 à 1 22 1011
204 des 1 22 1012
205 échelles... 1 22 1013
206 Fait 1 23 0
207 d'un 1 23 1
208 paisible 1 23 2
209 immeuble 1 23 3
210 un 1 23 4
211 cratère 1 23 5
212 qui 1 23 6
213 bout 1 23 7
214 Que 1 24 0
215 n'a-t-on, 1 24 1
216 lorsqu'il 1 24 2
217 faut 1 24 3
218 d'un 1 24 4
219 feu 1 24 5
220 venir 1 24 6
221 à 1 24 7
222 bout, 1 24 8
223 Un 1 25 0
224 géant 1 25 1
225 bon 1 25 2
226 coureur, 1 25 3
227 quand 1 25 4
228 une 1 25 5
229 maison 1 25 6
230 flambe, 1 25 7
231 Un 1 26 0
232 sauveteur 1 26 1
233 loyal 1 26 2
234 doit-il, 1 26 3
235 traînant 1 26 4
236 la 1 26 5
237 jambe, 1 26 6
238 Considérer 1 27 0
239 de 1 27 1
240 loin 1 27 2
241 la 1 27 3
242 besogne 1 27 4
243 en 1 27 5
244 boudeur 1 27 6
245 ? 1 27 7
246 Qui, 1 28 0
247 prêt, 1 28 1
248 tel 1 28 2
249 Gulliver, 1 28 3
250 à 1 28 4
251 vaincre 1 28 5
252 sa 1 28 6
253 pudeur, 1 28 7
254 Aurait 1 29 0
255 à 1 29 1
256 satisfaire 1 29 2
257 une 1 29 3
258 envie 1 29 4
259 opportune. 1 29 5
260 Enflamma, 1 30 0
261 dépourvu 1 30 1
262 lui 1 30 2
263 de 1 30 3
264 toute 1 30 4
265 fortune, 1 30 5
266 Une 1 31 0
267 catin 1 31 1
268 de 1 31 2
269 marque 1 31 3
270 ayant 1 31 4
271 voiture, 1 31 5
272 hôtel, 1 31 6
273 Qu'il 1 32 0
274 vient, 1 32 1
275 le 1 32 2
276 rouge 1 32 3
277 au 1 32 4
278 front, 1 32 5
279 de 1 32 6
280 conduire 1 32 7
281 à 1 32 8
282 l'autel 1 32 9
283 ; 1 32 10
284 — 1 33 0
285 À 1 33 1
286 Nice, 1 33 2
287 l'arrivant, 1 33 3
288 l'oeil 1 33 4
289 sur 1 33 5
290 le 1 33 6
291 thermomètre, 1 33 7
292 Si, 1 34 0
293 défiant 1 34 1
294 le 1 34 2
295 rhume, 1 34 3
296 en 1 34 4
297 toile 1 34 5
298 il 1 34 6
299 va 1 34 7
300 se 1 34 8
301 mettre 1 34 9
302 ; 1 34 10
303 À 1 35 0
304 l'hiverneur 1 35 1
305 niçois 1 35 2
306 donner 1 35 3
307 un 1 35 4
308 pardessus 1 35 5
309 Prêt 1 36 0
310 qu'il 1 36 1
311 est 1 36 2
312 à 1 36 3
313 jurer 1 36 4
314 les 1 36 5
315 jours 1 36 6
316 même 1 36 7
317 où, 1 36 8
318 pansus, 1 36 9
319 De 1 37 0
320 durs 1 37 1
321 magots 1 37 2
322 de 1 37 3
323 neige 1 37 4
324 y 1 37 5
325 pouffent 1 37 6
326 d'un 1 37 7
327 air 1 37 8
328 nice 1 37 9
329 Qu'en 1 38 0
330 janvier, 1 38 1
331 de 1 38 2
332 bon 1 38 3
333 coeur, 1 38 4
334 on 1 38 5
335 irait 1 38 6
336 nu 1 38 7
337 dans 1 38 8
338 Nice, 1 38 9
339 3.jpg 1 38 1000
340 Un 1 38 1001
341 bonhomme 1 38 1002
342 de 1 38 1003
343 neige 1 38 1004
344 comme 1 38 1005
345 en 1 38 1006
346 font 1 38 1007
347 les 1 38 1008
348 enfants, 1 38 1009
349 bouche 1 38 1010
350 largement 1 38 1011
351 ouverte, 1 38 1012
352 semble 1 38 1013
353 pouffer 1 38 1014
354 de 1 38 1015
355 rire. 1 38 1016
356 Tel 1 39 0
357 Archimède 1 39 1
358 aux 1 39 2
359 cent 1 39 3
360 coups 1 39 4
361 criant 1 39 5
362 : 1 39 6
363 « 1 39 7
364 Eurêka 1 39 8
365 » 1 39 9
366 C'est 1 40 0
367 donner 1 40 1
368 : 1 40 2
369 — 1 40 3
370 au 1 40 4
371 novice, 1 40 5
372 en 1 40 6
373 mer, 1 40 7
374 de 1 40 8
375 l'ipéca, 1 40 9
376 Tandis 1 41 0
377 qu'à 1 41 1
378 la 1 41 2
379 briser 1 41 3
380 l'ouragan 1 41 4
381 tend 1 41 5
382 l'écoute 1 41 6
383 ; 1 41 7
384 Quand 1 42 0
385 un 1 42 1
386 conférencier 1 42 2
387 prélude, 1 42 3
388 à 1 42 4
389 qui 1 42 5
390 l'écoute, 1 42 6
391 Un 1 43 0
392 narcotique 1 43 1
393 ; 1 43 2
394 — 1 43 3
395 à 1 43 4
396 qui 1 43 5
397 hors 1 43 6
398 d'un 1 43 7
399 train 1 43 8
400 bon 1 43 9
401 marcheur 1 43 10
402 Se 1 44 0
403 penche, 1 44 1
404 un 1 44 2
405 éventail 1 44 3
406 ; 1 44 4
407 — 1 44 5
408 lorsqu'il 1 44 6
409 rentre, 1 44 7
410 au 1 44 8
411 pécheur 1 44 9
412 Ayant 1 45 0
413 communié 1 45 1
414 tard, 1 45 2
415 de 1 45 3
416 la 1 45 4
417 noix 1 45 5
418 vomique 1 45 6
419 ; 1 45 7
420 — 1 46 0
421 Un 1 46 1
422 nez 1 46 2
423 postiche 1 46 3
424 au 1 46 4
425 juif, 1 46 5
426 moins 1 46 6
427 que 1 46 7
428 le 1 46 8
429 sien 1 46 9
430 comique 1 46 10
431 ; 1 46 11
432 — 1 47 0
433 Pendant 1 47 1
434 l'ivresse, 1 47 2
435 avant 1 47 3
436 le 1 47 4
437 serrement 1 47 5
438 complet, 1 47 6
439 Un 1 48 0
440 aphrodisiaque 1 48 1
441 au 1 48 2
442 pendu 1 48 3
443 ; 1 48 4
444 — 1 48 5
445 le 1 48 6
446 soufflet 1 48 7
447 À 1 49 0
448 qui 1 49 1
449 s'escrime 1 49 2
450 contre 1 49 3
451 un 1 49 4
452 feu 1 49 5
453 de 1 49 6
454 cheminée 1 49 7
455 Réfractaire 1 50 0
456 ; 1 50 1
457 — 1 50 2
458 à 1 50 3
459 qui 1 50 4
460 sort 1 50 5
461 d'un 1 50 6
462 livre, 1 50 7
463 auguste 1 50 8
464 aînée 1 50 9
465 Une 1 51 0
466 idyllique 1 51 1
467 fleur 1 51 2
468 sèche, 1 51 3
469 un 1 51 4
470 aplatissoir 1 51 5
471 ; 1 51 6
472 4.jpg 1 51 1000
473 Un 1 51 1001
474 homme 1 51 1002
475 sortant 1 51 1003
476 une 1 51 1004
477 fleur 1 51 1005
478 séchée 1 51 1006
479 d'un 1 51 1007
480 livre. 1 51 1008
481 — 1 52 0
482 À 1 52 1
483 qui, 1 52 2
484 sagace, 1 52 3
485 en 1 52 4
486 paix 1 52 5
487 laisse 1 52 6
488 une 1 52 7
489 aragne 1 52 8
490 un 1 52 9
491 soir, 1 52 10
492 S'assurant 1 53 0
493 une 1 53 1
494 passe 1 53 2
495 heureuse, 1 53 3
496 un 1 53 4
497 porte-chance 1 53 5
498 ; 1 53 6
499 — 1 54 0
500 Lorsque 1 54 1
501 en 1 54 2
502 gants 1 54 3
503 de 1 54 4
504 peau 1 54 5
505 vers 1 54 6
506 l'eau 1 54 7
507 bénite 1 54 8
508 elle 1 54 9
509 avance 1 54 10
510 Son 1 55 0
511 médius 1 55 1
512 rebelle, 1 55 2
513 à 1 55 3
514 la 1 55 4
515 dévote, 1 55 5
516 un 1 55 6
517 truc 1 55 7
518 Pour 1 56 0
519 ne 1 56 1
520 rien 1 56 2
521 gaspiller 1 56 3
522 ; 1 56 4
523 — 1 56 5
524 quand 1 56 6
525 l'express, 1 56 7
526 truck 1 56 8
527 par 1 56 9
528 truck, 1 56 10
529 Brûle 1 57 0
530 en 1 57 1
531 route 1 57 2
532 un 1 57 3
533 marchand 1 57 4
534 train, 1 57 5
535 à 1 57 6
536 qui 1 57 7
537 voit 1 57 8
538 leur 1 57 9
539 lutte, 1 57 10
540 Un 1 58 0
541 pronostic, 1 58 1
542 — 1 58 2
543 le 1 58 3
544 soir 1 58 4
545 venu, 1 58 5
546 quand, 1 58 6
547 dans 1 58 7
548 sa 1 58 8
549 hutte 1 58 9
550 Pour 1 59 0
551 son 1 59 1
552 somme 1 59 2
553 il 1 59 3
554 s'apprête, 1 59 4
555 au 1 59 5
556 noir, 1 59 6
557 des 1 59 7
558 bigoudis 1 59 8
559 ; 1 59 9
560 — 1 60 0
561 Quand, 1 60 1
562 martelant 1 60 2
563 le 1 60 3
564 sol, 1 60 4
565 dans 1 60 5
566 ses 1 60 6
567 doigts 1 60 7
568 engourdis 1 60 8
569 Souffle 1 61 0
570 un 1 61 1
571 mal 1 61 2
572 inspiré 1 61 3
573 dyspeptique, 1 61 4
574 une 1 61 5
575 boule 1 61 6
576 Puante 1 62 0
577 à 1 62 1
578 qui 1 62 2
579 de 1 62 3
580 près 1 62 4
581 lui 1 62 5
582 parle 1 62 6
583 ; 1 62 7
584 — 1 62 8
585 un 1 62 9
586 jour 1 62 10
587 sans 1 62 11
588 houle, 1 62 12
589 De 1 63 0
590 l'avance 1 63 1
591 au 1 63 2
592 vapeur 1 63 3
593 qu'oseur 1 63 4
594 brave 1 63 5
595 un 1 63 6
596 voilier 1 63 7
597 ; 1 63 8
598 — 1 64 0
599 Au 1 64 1
600 piéton 1 64 2
601 qu'un 1 64 3
602 sellé 1 64 4
603 cheval 1 64 5
604 sans 1 64 6
605 cavalier 1 64 7
606 Dépasse, 1 65 0
607 un 1 65 1
608 coup 1 65 2
609 double 1 65 3
610 à 1 65 4
611 demi-tour 1 65 5
612 sur 1 65 6
613 l'échine 1 65 7
614 ; 1 65 8
615 — 1 66 0
616 À 1 66 1
617 l'ouvrière, 1 66 2
618 en 1 66 3
619 juin, 1 66 4
620 qui, 1 66 5
621 cousant 1 66 6
622 sans 1 66 7
623 machine, 1 66 8
624 Se 1 67 0
625 tette 1 67 1
626 une 1 67 2
627 phalange, 1 67 3
628 une 1 67 4
629 rose 1 67 5
630 à 1 67 6
631 tenir 1 67 7
632 ; 1 67 8
633 — 1 68 0
634 À 1 68 1
635 rebours, 1 68 2
636 lorsqu'il 1 68 3
637 gronde 1 68 4
638 avant 1 68 5
639 d'intervenir, 1 68 6
640 Un 1 69 0
641 coup 1 69 1
642 de 1 69 2
643 brosse 1 69 3
644 au 1 69 4
645 chien 1 69 5
646 sur 1 69 6
647 l'épine 1 69 7
648 dorsale 1 69 8
649 ; 1 69 9
650 — 1 70 0
651 Quand 1 70 1
652 chez 1 70 2
653 lui 1 70 3
654 tout 1 70 4
655 s'attaque, 1 70 5
656 au 1 70 6
657 maigre 1 70 7
658 à 1 70 8
659 langue 1 70 9
660 sale 1 70 10
661 Qu'on 1 71 0
662 va 1 71 1
663 perdre, 1 71 2
664 une 1 71 3
665 forme 1 71 4
666 à 1 71 5
667 forcer 1 71 6
668 les 1 71 7
669 chapeaux 1 71 8
670 ; 1 71 9
671 — 1 72 0
672 Au 1 72 1
673 reclus, 1 72 2
674 quand 1 72 3
675 dehors 1 72 4
676 claquent 1 72 5
677 dur 1 72 6
678 les 1 72 7
679 drapeaux, 1 72 8
680 Sur 1 73 0
681 la 1 73 1
682 flûte, 1 73 2
683 ondulant, 1 73 3
684 maint 1 73 4
685 chromatique 1 73 5
686 exemple 1 73 6
687 ; 1 73 7
688 — 1 74 0
689 Quand 1 74 1
690 naît 1 74 2
691 l'orage, 1 74 3
692 à 1 74 4
693 qui 1 74 5
694 dominé, 1 74 6
695 le 1 74 7
696 contemple 1 74 8
697 Et 1 75 0
698 l'oit, 1 75 1
699 pour 1 75 2
700 moins 1 75 3
701 que 1 75 4
702 la 1 75 5
703 lumière 1 75 6
704 ailé 1 75 7
705 le 1 75 8
706 son 1 75 9
707 ; 1 75 10
708 — 1 76 0
709 Au 1 76 1
710 souffleur, 1 76 2
711 quand 1 76 3
712 tire 1 76 4
713 à 1 76 5
714 sa 1 76 6
715 fin 1 76 7
716 une 1 76 8
717 chanson 1 76 9
718 Lors 1 77 0
719 du 1 77 1
720 refrain 1 77 2
721 un 1 77 3
722 coup 1 77 4
723 d'épaule 1 77 5
724 à 1 77 6
725 chaque 1 77 7
726 ligne 1 77 8
727 ; 1 77 9
728 — 1 78 0
729 Un 1 78 1
730 sursis 1 78 2
731 au 1 78 3
732 coq 1 78 4
733 qui, 1 78 5
734 l'automne 1 78 6
735 enfui, 1 78 7
736 trépigne 1 78 8
737 Quand 1 79 0
738 tarde 1 79 1
739 une 1 79 2
740 aube 1 79 3
741 ; 1 79 4
